lambda (nm),counts
359.334,-262.17
359.701,-166.17
360.067,-293.17
360.434,-164.17
360.801,-153.17
361.167,-196.17
361.534,-378.17
0.362,-216.17
362.267,-204.17
362.633,-235.17
362.999,-383.17
363.366,-225.17
363.732,-207.17
364.098,-252.17
364.465,-234.17
364.831,-263.17
365.197,-172.17
365.563,-91.17
365.929,-154.17
366.295,-221.17
366.661,-253.17
367.027,-143.17
367.393,-244.17
367.759,-248.17
368.125,188.83
368.491,-161.17
368.857,-272.17
369.223,-124.17
369.589,-185.17
369.954,-185.17
0.370,-8.17
370.686,-323.17
371.051,-220.17
371.417,-271.17
371.782,-265.17
372.148,-215.17
372.513,-250.17
372.879,-197.17
373.244,-228.17
0.374,-168.17
373.975,-314.17
374.341,-243.17
374.706,-231.17
375.071,-316.17
375.436,-223.17
375.802,-254.17
376.167,-245.17
376.532,-213.17
376.897,-223.17
377.262,-227.17
377.627,-219.17
377.992,-118.17
378.357,-206.17
378.722,-317.17
379.087,-315.17
379.452,-256.17
379.816,-209.17
380.181,-313.17
380.546,-270.17
380.911,-235.17
381.275,-164.17
0.382,-295.17
382.005,-185.17
382.369,-328.17
382.734,-70.17
383.098,-179.17
383.463,-70.17
383.827,-182.17
384.192,-190.17
384.556,-254.17
0.385,-319.17
385.285,-254.17
385.649,-177.17
386.013,-246.17
386.377,-144.17
386.742,-275.17
387.106,-172.17
0.387,-222.17
387.834,-275.17
388.198,-164.17
388.562,-304.17
388.926,-178.17
0.389,-159.17
389.654,-293.17
390.018,-196.17
390.381,-255.17
390.745,-253.17
391.109,-327.17
391.473,-240.17
391.836,-292.17
0.392,-51.17
392.564,-197.17
392.927,-109.17
393.291,-333.17
393.654,-323.17
394.018,-142.17
394.381,-223.17
394.745,-240.17
395.108,-248.17
395.471,-215.17
395.835,-87.17
396.198,-290.17
396.561,32.83
396.924,-287.17
397.287,-294.17
397.651,-216.17
398.014,-124.17
398.377,-138.17
0.399,-261.17
399.103,-52.17
399.466,869.83
399.829,-228.17
400.191,-101.17
400.554,-159.17
400.917,-100.17
0.401,390.83
401.643,-161.17
402.005,-303.17
402.368,-237.17
402.731,-152.17
403.093,-139.17
403.456,-147.17
403.818,-235.17
404.181,-335.17
404.543,-109.17
404.906,-70.17
405.268,-229.17
405.631,-242.17
405.993,-142.17
406.355,-184.17
406.718,-192.17
0.407,-232.17
407.442,-321.17
407.804,-147.17
408.166,-109.17
408.528,-84.17
0.409,409.83
409.252,-136.17
409.614,-259.17
409.976,-248.17
410.338,-185.17
0.411,-203.17
411.062,-218.17
411.424,-192.17
411.785,-285.17
412.147,-326.17
412.509,540.83
412.871,-92.17
413.232,-110.17
413.594,-332.17
413.955,-125.17
414.317,-220.17
414.678,-74.17
0.415,-280.17
415.401,-175.17
415.763,-266.17
416.124,-126.17
416.485,-40.17
416.847,-193.17
417.208,-31.17
417.569,-186.17
0.418,-194.17
418.291,-173.17
418.652,-211.17
419.013,-60.17
419.374,-174.17
419.735,390.83
420.096,-72.17
420.457,-177.17
420.818,-168.17
421.179,-319.17
0.422,-290.17
421.901,-363.17
