lambda (nm),counts,
504.973,-5.83,
505.326,-390.83,
505.678,-438.83,
0.506,70.17,
506.382,-378.83,
506.734,-274.83,
507.086,-273.83,
507.438,-445.83,
0.508,-219.83,
508.142,-294.83,
508.494,-422.83,
508.845,-327.83,
509.197,-417.83,
509.549,-268.83,
509.901,530.17,
510.252,-376.83,
510.604,-495.83,
510.956,-8.83,
511.307,-384.83,
511.659,-242.83,
0.512,-408.83,
512.361,-330.83,
512.713,-165.83,
513.064,-306.83,
513.416,-332.83,
513.767,-454.83,
514.118,-561.83,
514.469,-253.83,
0.515,-433.83,
515.172,-418.83,
515.523,-373.83,
515.874,135.17,
516.225,-222.83,
516.576,-146.83,
516.927,-290.83,
517.278,-198.83,
517.628,-256.83,
517.979,-228.83,
0.518,-327.83,
518.681,-334.83,
519.031,-479.83,
519.382,14.17,
519.733,-458.83,
520.083,-400.83,
520.434,-284.83,
520.784,-363.83,
521.135,-197.83,
521.485,-350.83,
521.836,-299.83,
522.186,-461.83,
522.536,-198.83,
522.887,-341.83,
523.237,-201.83,
523.587,-265.83,
523.937,-297.83,
524.287,-144.83,
524.638,-359.83,
524.988,-193.83,
525.338,-273.83,
525.688,-367.83,
526.038,-320.83,
526.387,-442.83,
526.737,-254.83,
527.087,-147.83,
527.437,-342.83,
527.787,-211.83,
528.136,-265.83,
528.486,-122.83,
528.836,-295.83,
529.185,-415.83,
529.535,-299.83,
529.884,58.17,
530.234,-338.83,
530.583,-123.83,
530.933,-226.83,
531.282,-383.83,
531.631,-240.83,
531.981,-52.83,
0.532,-441.83,
532.679,-402.83,
533.028,161.17,
533.377,131.17,
533.726,-388.83,
534.076,-222.83,
534.425,-299.83,
534.774,-361.83,
535.122,-382.83,
535.471,-293.83,
0.536,-335.83,
536.169,-37.83,
536.518,-125.83,
536.867,158.17,
537.215,-181.83,
537.564,-417.83,
537.913,-244.83,
538.261,-195.83,
0.539,-295.83,
538.958,-209.83,
539.307,-388.83,
539.655,-249.83,
540.003,-156.83,
540.352,-425.83,
0.541,-339.83,
541.048,-161.83,
541.397,-454.83,
541.745,-230.83,
542.093,71.17,
542.441,-463.83,
542.789,-256.83,
