lambda (nm),counts
416.124,-185.75
416.485,-87.75
416.847,-342.75
417.208,-34.75
417.569,-304.75
0.418,-300.75
418.291,-321.75
418.652,-331.75
419.013,-105.75
419.374,-317.75
419.735,558.25
420.096,-185.75
420.457,-427.75
420.818,-239.75
421.179,-408.75
0.422,-439.75
421.901,-567.75
422.261,-238.75
422.622,-386.75
422.983,-494.75
423.343,-78.75
423.704,-401.75
424.065,-284.75
424.425,-280.75
424.786,-353.75
425.146,-306.75
425.506,-476.75
425.867,-393.75
426.227,-342.75
426.588,-428.75
426.948,-182.75
427.308,-274.75
427.668,-252.75
428.028,-294.75
428.389,-409.75
428.749,-408.75
429.109,-246.75
429.469,-260.75
429.829,436.25
430.189,-309.75
430.549,-461.75
430.909,-431.75
431.268,-475.75
431.628,-296.75
431.988,-364.75
432.348,-324.75
432.707,-134.75
433.067,-429.75
433.427,-362.75
433.786,-259.75
434.146,-304.75
434.506,-157.75
434.865,-539.75
435.224,-369.75
435.584,-290.75
435.943,-243.75
436.303,-338.75
436.662,-544.75
437.021,-143.75
0.437,-88.75
0.438,-298.75
438.099,-409.75
438.458,-474.75
438.817,-380.75
439.176,-359.75
439.535,-326.75
439.894,12.25
440.253,-491.75
440.612,-358.75
440.971,-316.75
0.441,-150.75
441.689,-438.75
442.047,-337.75
442.406,-180.75
442.765,-351.75
443.124,-181.75
443.482,-474.75
443.841,-473.75
444.199,-150.75
444.558,-231.75
444.916,107.25
445.275,-297.75
445.633,-312.75
445.992,-219.75
0.446,-243.75
446.708,-489.75
447.066,-336.75
447.425,-431.75
447.783,-498.75
448.141,-322.75
448.499,-406.75
448.857,-271.75
449.215,-216.75
449.573,-339.75
449.931,-67.75
450.289,-87.75
450.647,-166.75
451.005,-402.75
451.363,-475.75
451.721,-327.75
452.078,-307.75
452.436,-405.75
452.794,417.25
453.152,-247.75
453.509,-246.75
453.867,-402.75
454.224,-177.75
454.582,-290.75
454.939,-483.75
455.297,-314.75
455.654,-255.75
456.011,-426.75
456.369,-425.75
456.726,-586.75
457.083,-554.75
457.441,-223.75
457.798,-312.75
458.155,-111.75
458.512,-262.75
458.869,-63.75
459.226,-231.75
459.583,127.25
0.460,-380.75
460.297,-322.75
460.654,-248.75
461.011,-320.75
461.368,-292.75
461.724,-349.75
462.081,-413.75
462.438,-236.75
462.794,-398.75
463.151,-347.75
463.508,-377.75
463.864,-524.75
464.221,383.25
464.577,-413.75
464.934,-331.75
0.465,-427.75
465.646,-299.75
466.003,-130.75
466.359,-308.75
466.715,-123.75
467.072,-249.75
467.428,-227.75
